i,address,end,name_i,newlines,name,string
19,0xb8469,0xb8496,4,"[""\\n"", ""<arrow>0<waita><clear>"", ""<waita>@""]",,"Is this from
your farm? Thank
you, <player>."
20,0xb8469,0xb8496,4,"[""\\n"", ""<arrow>0<waita><clear>"", ""<waita>@""]",,"Is this from
your farm? Thank
you, <player>."
21,0xb8469,0xb8496,4,"[""\\n"", ""<arrow>0<waita><clear>"", ""<waita>@""]",,"Is this from
your farm? Thank
you, <player>."
22,0xb8469,0xb8496,4,"[""\\n"", ""<arrow>0<waita><clear>"", ""<waita>@""]",,"Is this from
your farm? Thank
you, <player>."
23,0xb8469,0xb8496,4,"[""\\n"", ""<arrow>0<waita><clear>"", ""<waita>@""]",,"Is this from
your farm? Thank
you, <player>."
24,0xb8469,0xb8496,4,"[""\\n"", ""<arrow>0<waita><clear>"", ""<waita>@""]",,"Is this from
your farm? Thank
you, <player>."
25,0xb8469,0xb8496,4,"[""\\n"", ""<arrow>0<waita><clear>"", ""<waita>@""]",,"Is this from
your farm? Thank
you, <player>."
26,0xb8469,0xb8496,4,"[""\\n"", ""<arrow>0<waita><clear>"", ""<waita>@""]",,"Is this from
your farm? Thank
you, <player>."
27,0xb8469,0xb8496,4,"[""\\n"", ""<arrow>0<waita><clear>"", ""<waita>@""]",,"Is this from
your farm? Thank
you, <player>."
28,0xb8469,0xb8496,4,"[""\\n"", ""<arrow>0<waita><clear>"", ""<waita>@""]",,"Is this from
your farm? Thank
you, <player>."
29,0xb8469,0xb8496,4,"[""\\n"", ""<arrow>0<waita><clear>"", ""<waita>@""]",,"Is this from
your farm? Thank
you, <player>."
30,0xb8469,0xb8496,4,"[""\\n"", ""<arrow>0<waita><clear>"", ""<waita>@""]",,"Is this from
your farm? Thank
you, <player>."
31,0xb8496,0xb84b8,5,"[""\\n"", ""<waita>@""]",,"Thanks, <player>!!
It'll be useful!"
32,0xb84b8,0xb84ec,8,"[""\\n"", ""<arrow>0<waita><clear>"", ""<waita>@""]",,"Is this from
your farm? Thank
you! I love it!"
33,0xb84ec,0xb851c,9,"[""\\n"", ""<arrow>0<waita><clear>"", ""<waita>@""]",,"Wow, this is
great! Thank you
very much."
34,0xb851c,0xb854b,10,"[""\\n"", ""<arrow>0<waita><clear>"", ""<waita>@""]",,"Oh, thank you.
Kate will be
very happy."
35,0xb854b,0xb8578,11,"[""\\n"", ""<arrow>0<waita><clear>"", ""<waita>@""]",,"Yeah! A present
for me? Thank
you, <player>!"
36,0xb8578,0xb8595,4,"[""\\n"", ""<waita>@""]",,"What? For me?
Thanks, <player>."
37,0xb8595,0xb85b3,5,"[""\\n"", ""<waita>@""]",,"A gift for me?
Thanks, <player>."
38,0xb85b3,0xb85dc,8,"[""\\n"", ""<arrow>0<waita><clear>"", ""<waita>@""]",,"Wow, it's for
me? Thank you,
<player>."
39,0xb85dc,0xb860b,9,"[""\\n"", ""<arrow>0<waita><clear>"", ""<waita>@""]",,"What? Are you
sure? Thank you
very much."
40,0xb860b,0xb8630,10,"[""\\n"", ""<arrow>0<waita><clear>"", ""<waita>@""]",,"Is this for
me? Thank you,
<player>."
41,0xb8630,0xb865b,11,"[""\\n"", ""<arrow>0<waita><clear>"", ""<waita>@""]",,"You are giving
it to me?
Thanks, <player>!"
42,0xb865b,0xb8675,4,"[""\\n"", ""<waita>@""]",,"…Thank you,
<player>…, Mmm…"
43,0xb8675,0xb8694,5,"[""\\n"", ""<waita>@""]",,"What the…
Thanks, I guess."
44,0xb8694,0xb86c1,8,"[""\\n"", ""<arrow>0<waita><clear>"", ""<waita>@""]",,"What? Ah, I
guess I should
accept it…"
45,0xb86c1,0xb86f2,9,"[""\\n"", ""<arrow>0<waita><clear>"", ""<waita>@""]",,"Mmm…I don't
really… Well,
thanks anyway."
46,0xb86f2,0xb871c,10,"[""\\n"", ""<arrow>0<waita><clear>"", ""<waita>@""]",,"What is it?
Mmm…Thank you,
anyway."
47,0xb871c,0xb874e,11,"[""\\n"", ""<arrow>0<waita><clear>"", ""<waita>@""]",,"No! I'm not
happy with that
kind of stuff."
48,0xb874e,0xb8803,4,"[""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""<waita>@""]",,"Zzzz… Oh,
Harry… What?
<player>? Huh.
<var>0's father
passed away. I'm
Elder. You're
the young man
who is helping
on <var>0's farm.
<player>, take good
care of the
farm…
Zzzz…"
49,0xb8803,0xb88c2,5,"[""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""<waita>@""]",,"Hey! You are
the guy who came
from Flower Bud
Village. I
heard you're
helping on
<var>0's farm.
I'm Billy the
fisherman.
Nice to meet
you! This town
is nice and
peaceful."
50,0xb88c2,0xb894c,8,"[""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""<waita>@""]",,"Hello. Nice to
meet you. You
are helping on
<var>0's farm,
right? I'm Elza.
I'm a fisherman.
Take care of
<var>0 and the
farm."
51,0xb894c,0xb8a0c,9,"[""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""<waita>@""]",,"You are <player>,
right? I'm
Bigbee. I run
the Inn. The
hot spring on
this island is
fantastic.
Everyone here
has a tub at
home. I think
you can build
one on <var>0's
farm, too."
52,0xb8a0c,0xb8b00,10,"[""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""<waita>@""]",,"Hello… You
must be the guy
who came here
with <var>0. My
name is Kirk.
I'm the captian
of this ferry.
The ferry goes
to the mainland
on Mondays and
Thursdays
between 6AM to
6PM. Let me know
when you want to
take the ferry."
53,0xb8b00,0xb8b9a,11,"[""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<waita>@""]",,"Who are you?
I've never seen
you before.
Your name is
<player>? OK. I'm
Kate. My daddy
is a captain of
a ship. You're
helping <var>0?
I love milk!"
54,0xb8b9a,0xb8c4f,4,"[""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<waita>@""]",,"Zzzz… <player>.
Long time no
see. I'm Elder.
You're working
on the farm?
Someone is
helping you,
too? The farm
is full of
Harry's dream.
Please take
good care of it."
55,0xb8c4f,0xb8ce2,5,"[""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""<waita>@""]",,"Hey? You are…
<player>, right? You
used to play at
Elder's place a
lot. I'm Billy.
You wouldn't
remember me…
Good luck with
your farm!"
56,0xb8ce2,0xb8d85,8,"[""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""<waita>@""]",,"<player>! How are
you? It's Elza.
Remember me?
We used to play
together at the
beach with
Billy. Are you
working on
Harry's farm?
Wow. Good luck,
<player>!"
57,0xb8d85,0xb8e64,9,"[""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""<waita>@""]",,"You must be
<player>. Harry's
daughter, right?
I'm Bigbee. I
own the Inn. The
hot spring on
this island is
fantastic.
Everyone here
has a tub at
home… You
should be able
to build one
on your farm,
too."
58,0xb8e64,0xb8f5c,10,"[""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""<waita>@""]",,"Hi. You must be
the daughter of
Harry. Now you
are working on
the farm… My
name is Kirk.
You can take my
ferry to go to
the mainland on
Mondays and
Thursdays
between 6AM and
6PM. Let me know
when you want to
take the ferry."
59,0xb8f5c,0xb8fe6,11,"[""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""\\n"", ""<arrow>0<waita><clear>"", ""<waita>@""]",,"Hello. You're
the new owner
of Harry's farm,
right? I'm Kate.
Your name is
<player>? I love
milk, so good
luck on your
farm!"
