i,address,name_i,newline_types,name,string
24,0x1f1f60,1,"['\\n', '<arrow>0<waita><clear>', '\\n', '<arrow>0<waita><clear>', '\\n', '<waita>@']",<partner>,"You know where
we can see the
mainland from?
Please come by
midnight. I'll
be waiting."
25,0x1f1fc1,1,"['\\n', '<arrow>0<waita><clear>', '\\n', '<arrow>0<waita><clear>', '\\n', '<waita>@']",<partner>,"We're busy
everyday… I
will go anyway.
You should go
out sometimes,
too."
26,0x1f2015,1,"['\\n', '<arrow>0<waita><clear>', '\\n', '<arrow>0<waita><clear>', '\\n', '<arrow>0<waita><clear>', '\\n', '<arrow>0<waita><clear>', '<waita>@']",<partner>,"<player>…Ah…
I have something
to tell you…
Can you come to
the cliff, the
one with a
pretty view at
night?
I'll be waiting."
27,0x1f209b,1,"['\\n', '<arrow>0<waita><clear>', ' \\n', '<arrow>0<waita><clear>', '\\n', '<arrow>0<waita><clear>', '\\n', '<arrow>0<waita><clear>', '\\n', '100G001@']",<partner>,"Ah, <player>.
What? This?
It's my dad's
photo album.
I just found
it. Look, she
looks like me…

<noname><name:0> Your Mom?
 His first love?<ask>"
28,0x1f212e,1,"['\\n', '<arrow>0<waita><clear>', '\\n', '<waita>@']",<partner>,"Dad treasured
it, so I think
she is my Mom.
But…"
29,0x1f2166,1,"[' \\n', ' <arrow>0<waita><clear>', '\\n', '<arrow>0<waita><clear>', '\\n', '<waita>@']",<partner>,"No! He didn't
even have Mom's
picture… I
guess his first
love could have
been my Mom too…"
30,0x1f21cd,1,"['\\n', '<arrow>0<waita><clear>', '\\n', '<arrow>0<waita><clear>', '\\n', '<arrow>0<waita><clear>', '\\n', '100G001@']",<partner>,"Either way, I
don't remember
my Mom… She
passed away when
I was three…

<noname><name:0> Miss her?
 Mom's annoying.<ask>"
31,0x1f224a,1,"['\\n', ' <arrow>0<waita><clear>', '\\n', '<arrow>0<waita><clear>', '\\n', '<arrow>0<waita><clear>', '\\n', '<arrow>0<waita><clear>', '\\n', '<arrow>0<waita><clear>', '<waita>@']",<partner>,"It'd be a lie if
I said I didn't
miss her. I'm a
girl, you know?
There are things
I wanted to
share with a
Mom, not with a
Dad. She lives
in my heart,
though."
32,0x1f2302,1,"['\\n', '<arrow>0<waita><clear>', '\\n', '<arrow>0<waita><clear>', '\\n', '<arrow>0<waita><clear>', '\\n', '<arrow>0<waita><clear>', '\\n', '<waita>@']",<partner>,"Do you think
so? My friends
at school told
me the same
thing…
Are moms really
just annoying?
I can't believe
that…
"
33,0x1f2386,1,"['\\n', '<arrow>0<waita><clear>', '\\n', '<arrow>0<waita><clear>', '\\n', '<arrow>0<waita><clear>', '\\n', '<arrow>0<waita><clear>', '\\n', '<arrow>0<waita><clear>', '\\n', '<arrow>0<waita><clear>', '\\n', '100G001@']",<partner>,"Listen <player>!
Bigbee told me
that he saw a
cub drinking
water in the
forest… It's
supposed to be
fluffy and cute
like a stuffed
animal… Do you
want to go see
it?
<noname><name:0> Don't go.
 Go by yourself.<ask>"
34,0x1f2461,1,"['\\n', '<waita>@']",<partner>,"It's OK! I'm
going right now."
35,0x1f2484,1,"['\\n', '<arrow>0<waita><clear>', '\\n', '<arrow>0<waita><clear>', '\\n', '<arrow>0<waita><clear>', '\\n', '<waita>@']",<partner>,"You don't want
to go? Mmm… I
am going anyway.
I'll come home
tomorrow.
Come if you
change your
mind."
36,0x1f24f7,0,"['\\n', '<arrow>0<waita><clear>', '\\n', '<arrow>0<waita><clear>', '\\n', '<waita>@']",<player>,"Huh? <var>0 is
not back? someー
thing must have
happened in the
forest…
"
37,0x1f2544,0,"['\\n', '<arrow>0<waita><clear>', '\\n', '<arrow>0<waita><clear>', '\\n', '<arrow>0<waita><clear>', '\\n', '<arrow>0<waita><clear>', '\\n', '<waita>@']",<player>,"Since then, <var>0
didn't come
home… I should
have gone to the
forest with her
at that time…
It's too late…
<var>0 is gone…
<noname>Harvest Moon 3
The End"
38,0x1f25e2,1,"['\\n', '<arrow>0<waita><clear>', '\\n', '<arrow>0<waita><clear>', '\\n', '<waita>@']",<partner>,"…The volcano
exploded. Was
the field
damaged? At
least no one
was hurt."
39,0x1f2633,1,"['\\n', '<arrow>0<waita><clear>', '\\n', '<arrow>0<waita><clear>', '\\n', '<waita>@']",<partner>,"…The volcano
exploded. Was
the field
damaged? At
least no one
was hurt."
40,0x1f2684,1,"['\\n', '<arrow>0<waita><clear>', '\\n', '<arrow>0<waita><clear>', '\\n', '<arrow>0<waita><clear>', '\\n', '<waita>@']",<partner>,"…! What was
that? It sounded
like a volcanic
explosion. <player>?
Do you think the
field is OK? Can
you go check out
the volcano?"
41,0x1f270b,1,"['\\n', '<arrow>0<waita><clear>', '\\n', '<arrow>0<waita><clear>', '\\n', '<arrow>0<waita><clear>', '\\n', '<waita>@']",<partner>,"…! What was
that? It sounded
like a volcanic
explosion. <player>?
Do you think the
field is OK? Can
you go check out
the volcano?"
42,0x1f2792,0,"['\\n', '<arrow>0<waita><clear>', '\\n', '<waita>@']",<player>,"Oh! <var>0 came
back!! Where
have you been?
Are you OK?"
43,0x1f27cc,0,"['\\n', '<arrow>0<waita><clear>', '\\n', '<waita>@']",<player>,"Oh! <var>0 came
back!! Where
have you been?
Are you OK?"
44,0x1f2806,0,"['\\n', '<arrow>0<waita><clear>', '\\n', '<arrow>0<waita><clear>', '\\n', '<waita>@']",<player>,"Oh!! <var>0 came
back! Kate
brought it back
here… She must
love <var>0.
"
45,0x1f2850,0,"['\\n', '<arrow>0<waita><clear>', '\\n', '<arrow>0<waita><clear>', '\\n', '<waita>@']",<player>,"Oh!! <var>0 came
back! Kate
brought it back
here… She must
love <var>0.
"
46,0x1f289a,1,"['\\n', '<arrow>0<waita><clear>', '\\n', '<arrow>0<waita><clear>', '\\n', '<arrow>0<waita><clear>', '\\n', '<arrow>0<waita><clear>', '\\n', '<arrow>0<waita><clear>', '\\n', '<waita>@']",<partner>,"Huh? Where is
<var>0? ……
Oh, no! <var>0 is
missing!! <player>!
Can you go look
for <var>0 in
town? I'm so
worried. Let me
know as soon as
you find out
something!!
"
47,0x1f293f,1,"['\\n', '<arrow>0<waita><clear>', '\\n', '<arrow>0<waita><clear>', '\\n', '<arrow>0<waita><clear>', '\\n', '<arrow>0<waita><clear>', '\\n', '<arrow>0<waita><clear>', '\\n', '<waita>@']",<partner>,"Huh? Where is
<var>0? ……
Oh, no! <var>0 is
missing!! <player>!
Can you go look
for <var>0 in
town? I'm so
worried. Let me
know as soon as
you find out
something!!
"
48,0x1f29e4,0,"['\\n', '<waita>@']",<player>,"Wow! It's noon
already!"
49,0x1f2a00,1,"['\\n', '<arrow>0<waita><clear>', '\\n', '<arrow>0<waita><clear>', '\\n', '<waita>@']",<partner>,"Today is Friday
the 13th. It
was such a bad
day…, but
tomorrow will
be a better one!"
50,0x1f2a5f,1,"['\\n', '<arrow>0<waita><clear>', '\\n', '<arrow>0<waita><clear>', '\\n', '<arrow>0<waita><clear>', '\\n', '<arrow>0<waita><clear>', '\\n', '<arrow>0<waita><clear>', '\\n', '<arrow>0<waita><clear>', '\\n', '<waita>@']",<partner>,"Good morning
<player>. I found
some strange
flower seeds
at the beach
this morning. I
guess the
typhoon brought
them to the
island.  The
villagers said
you can use
them however you
want. Here!"
51,0x1f2b2e,1,"['\\n', '<arrow>0<waita><clear>', '\\n', '<arrow>0<waita><clear>', '\\n', '<arrow>0<waita><clear>', '\\n', '<arrow>0<waita><clear>', '\\n', '<arrow>0<waita><clear>', '\\n', '<arrow>0<waita><clear>', '\\n', '<waita>@']",<partner>,"Good morning
<player>. I found
some strange
flower seeds
at the beach
this morning. I
guess the
typhoon brought
them to the
island.  The
villagers said
you can use
them however you
want. Here!"
52,0x1f2bfd,1,"['\\n', '<arrow>0<waita><clear>', '\\n', '<waita>@']",<partner>,"Did you have
fun? I'd like
to go someー
where,too!!"
53,0x1f2c38,1,"['\\n', '<arrow>0<waita><clear>', '\\n', '<arrow>0<waita><clear>', '\\n', '<waita>@']",<partner>,"Do you feel that
you missed out
on something? I
can see it in
your face.
"
54,0x1f2c8b,11,"['\\n', '<arrow>0<waita><clear>', '\\n', '<arrow>0<waita><clear>', '\\n', '<arrow>0<waita><clear>', '\\n', '<arrow>0<waita><clear>', '\\n', '<arrow>0<waita><clear>', '\\n', '<arrow>0<waita><clear>', '\\n', '<waita>@']",Kate,"Dear <player>.
There will be
fireworks
tonight at 8PM
on the mainland.
Do you want to
go see them with
me? Let's forget
about work and
have some fun.
I'll be waiting
for you at the
cliff!
"
