i,address,name_i,newline_types,name,string
12,0x12db63,15,"['\\n', '<arrow>0<waita><clear>', '\\n', '<arrow>0<waita><clear>', '\\n', '<arrow>0<waita><clear>', '\\n', '<arrow>0<waita><clear>', '\\n', '<arrow>0<waita><clear>', '\\n', '<waita>@']",Lucus,"Hey, how are ya?
You must be a
new comer. I'm
Lucus the tool
guy. So…You're
working on the
farm, huh? I've
got lots of
useful tools
here. Take a
look around
<player>!!"
13,0x12db63,15,"['\\n', '<arrow>0<waita><clear>', '\\n', '<arrow>0<waita><clear>', '\\n', '<arrow>0<waita><clear>', '\\n', '<arrow>0<waita><clear>', '\\n', '<arrow>0<waita><clear>', '\\n', '<waita>@']",Lucus,"Hey, how are ya?
You must be a
new comer. I'm
Lucus the tool
guy. So…You're
working on the
farm, huh? I've
got lots of
useful tools
here. Take a
look around
<player>!!"
14,0x12db63,15,"['\\n', '<arrow>0<waita><clear>', '\\n', '<arrow>0<waita><clear>', '\\n', '<arrow>0<waita><clear>', '\\n', '<arrow>0<waita><clear>', '\\n', '<arrow>0<waita><clear>', '\\n', '<waita>@']",Lucus,"Hey, how are ya?
You must be a
new comer. I'm
Lucus the tool
guy. So…You're
working on the
farm, huh? I've
got lots of
useful tools
here. Take a
look around
<player>!!"
15,0x12db63,15,"['\\n', '<arrow>0<waita><clear>', '\\n', '<arrow>0<waita><clear>', '\\n', '<arrow>0<waita><clear>', '\\n', '<arrow>0<waita><clear>', '\\n', '<arrow>0<waita><clear>', '\\n', '<waita>@']",Lucus,"Hey, how are ya?
You must be a
new comer. I'm
Lucus the tool
guy. So…You're
working on the
farm, huh? I've
got lots of
useful tools
here. Take a
look around
<player>!!"
16,0x12db63,15,"['\\n', '<arrow>0<waita><clear>', '\\n', '<arrow>0<waita><clear>', '\\n', '<arrow>0<waita><clear>', '\\n', '<arrow>0<waita><clear>', '\\n', '<arrow>0<waita><clear>', '\\n', '<waita>@']",Lucus,"Hey, how are ya?
You must be a
new comer. I'm
Lucus the tool
guy. So…You're
working on the
farm, huh? I've
got lots of
useful tools
here. Take a
look around
<player>!!"
17,0x12dc1b,15,"['\\n', '<arrow>0<waita><clear>', '\\n', '<waita>@']",Lucus,"Hey <player>!!
What can I do
for you today?
"
18,0x12dc47,15,"['\\n', '<waita>@']",Lucus,"I made them all
by myself."
19,0x12dc65,15,"['\\n', '<arrow>0<waita><clear>', '<waita>@']",Lucus,"Stay here as
long as you
like."
20,0x12dc8a,13,"['\\n', '<arrow>0<waita><clear>', '\\n', '<arrow>0<waita><clear>', '\\n', '<arrow>0<waita><clear>', '\\n', '<arrow>0<waita><clear>', '\\n', '<waita>@']",Lukia,"Hi, nice to meet
you. I heard
that you own a
farm from the
Farmers' Union.
I'm Lukia. I've
got different
seeds for every
season, so come
often."
21,0x12dd2e,13,"['\\n', '<waita>@']",Lukia,"Welcome.
Take your time."
22,0x12dd4a,13,"['\\n', '<waita>@']",Lukia,"Flower lovers
are good."
23,0x12dd65,13,"['\\n', '<waita>@']",Lukia,"Lavender makes
me feel better."
24,0x12dd87,14,"['\\n', '<arrow>0<waita><clear>', '\\n', '<arrow>0<waita><clear>', '\\n', '<arrow>0<waita><clear>', '\\n', '<waita>@']",Lyla,"Hello. I'm Lyla.
You must be
<player>. Do you
live on the
farm? We have a
lot of useful
books.
Check them out."
25,0x12ddfc,14,['<waita>@'],Lyla,Welcome.
26,0x12de08,14,"[' \\n', '<arrow>0<waita><clear>', '\\n', '<waita>@']",Lyla,"<player>? Why don't
you take your
time and read
a book?"
27,0x12de41,14,"['\\n', '<waita>@']",Lyla,"Reading books
calms me down."
28,0x12de61,7,"['\\n', '<arrow>0<waita><clear>', '\\n', '<arrow>0<waita><clear>', '\\n', '<arrow>0<waita><clear>', '\\n', '<arrow>0<waita><clear>', '\\n', '<arrow>0<waita><clear>', '\\n', '<waita>@']",Chloe,"Hello. My name
is Cloe. You
must be <player>.
My son, Billy
told me about
you. How is the
farming life? If
you get hungry,
please come and
eat here. My
food is very
energizing!!"
29,0x12df20,7,"['\\n', '<arrow>0<waita><clear>', '\\n', '<waita>@']",Chloe,"Welcome <player>.
What would you
like?
"
30,0x12df47,7,"['\\n', '<waita>@']",Chloe,"I love white
cats very much."
31,0x12df67,7,"['\\n', '<arrow>0<waita><clear>', '\\n', '<waita>@']",Chloe,"His name is
Bubba. Isn't
he cute?
"
32,0x12df91,19,"['\\n', '<arrow>0<waita><clear>', '\\n', '<waita>@']",Daisy,"Long time no
see!! How are
you?
"
33,0x12dfb8,19,"['\\n', '<waita>@']",Daisy,"They have good
flowers."
34,0x12dfd3,19,"['\\n', '<arrow>0<waita><clear>', '\\n', '<arrow>0<waita><clear>', '\\n', '<waita>@']",Daisy,"I came here all
the way from
Flower Bud
Village to buy
some beautiful
flowers."
35,0x12e02b,19,"['\\n', '<waita>@']",Daisy,"I love looking
at flowers."
36,0x12e049,19,"['\\n', '<arrow>0<waita><clear>', '\\n', '<waita>@']",Daisy,"You'll come back
to Flower Bud
Village, right?
"
37,0x12e081,19,"['\\n', '<waita>@']",Daisy,"Just wanted to
talk to Lukia…"
38,0x12e0a2,19,"['\\n', '<arrow>0<waita><clear>', '\\n', '<waita>@']",,"Oh, you are the
guy from…
Mmm… No, I
don't remember."
39,0x12e0de,19,"['\\n', '<waita>@']",,"What should I
have for lunch?"
40,0x12e0fd,19,"['\\n', '<arrow>0<waita><clear>', '\\n', '<waita>@']",,"I'm too old to
remember
everything.
"
41,0x12e127,19,"['\\n', '<arrow>0<waita><clear>', '\\n', '<waita>@']",,"What should I
have for
dinner?
"
42,0x12e14b,19,"['\\n', '<arrow>0<waita><clear>', '\\n', '<waita>@']",,"Are you the
farm owner in
Flower Bud
Village…?"
43,0x12e17e,19,"['\\n', '<arrow>0<waita><clear>', '\\n', '<waita>@']",,"I can't do
anything when
I'm hungry.
"
44,0x12e1aa,24,"['\\n', '<arrow>0<waita><clear>', '\\n', '<waita>@']",Mary,"Ah…<player>.
Long time no
see…
"
45,0x12e1c9,24,"['\\n', '<waita>@']",Mary,"I'm looking for
a lot of books."
46,0x12e1ed,24,"['\\n', '<waita>@']",Mary,"You seem to be
busy everyday."
47,0x12e20e,24,"['\\n', '<arrow>0<waita><clear>', '\\n', '<arrow>0<waita><clear>', '\\n', '<waita>@']",Mary,"I want to buy
a knitting
book and knit
a sweater or
something.
"
48,0x12e257,24,"['\\n', '<arrow>0<waita><clear>', '\\n', '<waita>@']",Mary,"Ah…come
visit my
library
sometime."
49,0x12e280,24,"['\\n', '<arrow>0<waita><clear>', '\\n', '<waita>@']",Mary,"'Mysteries of
the Island'…
My library can
use one."
50,0x12e2bb,38,"['\\n', '<arrow>0<waita><clear>', '\\n', '<waita>@']",Gen,"Hey <player>.
How have you
been?!
"
51,0x12e2dd,38,"['\\n', '<waita>@']",Gen,"I'm looking for
some good tools."
52,0x12e302,38,"['\\n', '<arrow>0<waita><clear>', '\\n', '<waita>@']",Gen,"Let me know if
you want me to
build something
for you."
53,0x12e33f,38,"['\\n', '<waita>@']",Gen,"There is some
good stuff here."
54,0x12e361,38,"['\\n', '<arrow>0<waita><clear>', '\\n', '<waita>@']",Gen,"My dream is to
build a big
place like this!
"
55,0x12e394,38,"['\\n', '<waita>@']",Gen,"I'm tired. I'm
going home now."
56,0x12e3b8,20,"['\\n', '<waita>@']",Chet,"Is this for me?
Thanks <player>."
57,0x12e3d5,20,"['\\n', '<waita>@']",Chet,"Thank you. It's
wonderful!!"
58,0x12e3d5,20,"['\\n', '<waita>@']",Chet,"Thank you. It's
wonderful!!"
59,0x12e3f5,20,"['\\n', '<waita>@']",Chet,"I don't like
this."
60,0x12e40c,18,"['\\n', '<waita>@']",Choco,"Yeah! Thanks!
I'm so happy!"
61,0x12e42c,18,"['\\n', '<waita>@']",Choco,"Is this for me?
Yeah! Yeah!"
62,0x12e42c,18,"['\\n', '<waita>@']",Choco,"Is this for me?
Yeah! Yeah!"
63,0x12e44b,18,"['\\n', '<arrow>0<waita><clear>', '\\n', '<waita>@']",Choco,"I don't want it.
I'll throw it
away later!
"
64,0x12e47f,19,"['\\n', '<waita>@']",Daisy,"For me?
You're cool!"
65,0x12e498,19,"['\\n', '<waita>@']",Daisy,"A present for
me? I'm excited!"
66,0x12e498,19,"['\\n', '<waita>@']",Daisy,"A present for
me? I'm excited!"
67,0x12e4bb,19,"['\\n', '<waita>@']",Daisy,"Are you trying
to make me mad?"
68,0x12e4dd,19,"['\\n', '<waita>@']",,"For me? Is it
edible…?"
69,0x12e4f5,19,"['\\n', '<waita>@']",,"A present!? Is
it edible?"
70,0x12e4f5,19,"['\\n', '<waita>@']",,"A present!? Is
it edible?"
71,0x12e510,19,"['\\n', '<waita>@']",,"I don't think
it's edible…"
72,0x12e52e,24,"['\\n', '<waita>@']",Mary,"Are you sure?
Thank you…"
73,0x12e54a,24,"['\\n', '<waita>@']",Mary,"Is it really
OK? Thank you."
74,0x12e54a,24,"['\\n', '<waita>@']",Mary,"Is it really
OK? Thank you."
75,0x12e569,24,"['\\n', '<waita>@']",Mary,"What…? You
are mean…!"
76,0x12e582,38,"['\\n', '<waita>@']",Gen,"Oh, cool.
Thanks <player>!"
77,0x12e59a,38,"['\\n', '<waita>@']",Gen,"What? For me?
Thanks buddy!"
78,0x12e59a,38,"['\\n', '<waita>@']",Gen,"What? For me?
Thanks buddy!"
79,0x12e5b9,38,"['\\n', '<waita>@']",Gen,"I don't like
jokes like this."
80,0x12e5db,2,['<waita>@'],<2>,Daーda! Paーpa!
81,0x12e5ec,2,"['\\n', '<waita>@']",<2>,"Daddy, have a
good day!"
82,0x12e608,2,['<waita>@'],<2>,Thank you Daddy!
83,0x12e61c,3,['<waita>@'],<3>,Gaーga… Daーda…
84,0x12e62d,3,"['\\n', '<waita>@']",<3>,"Have a nice
day Daddy!"
85,0x12e647,3,"['\\n', '<waita>@']",<3>,"Yeah!
Thanks Dad!"
86,0x12e65c,0,"['\\n', '<waita>@']",<player>,"Oh…??? An egg
has hatched…"
87,0x12e67a,1,"['\\n', '<arrow>0<waita><clear>', '\\n', '<arrow>0<waita><clear>', '\\n', '<arrow>0<waita><clear>', '\\n', '<arrow>0<waita><clear>', '\\n', '<waita>@']",<partner>,"Wow, cute!
They are always
together…
Ha ha ha, he
thinks you're
his mommy. Yes!
Let's name him
'Pak'! OK! He's
definately a
Pak!"
88,0x12e711,1,"['\\n', '<arrow>0<waita><clear>', '\\n', '<arrow>0<waita><clear>', '\\n', '<arrow>0<waita><clear>', '\\n', '<arrow>0<waita><clear>', '\\n', '<waita>@']",<partner>,"How cute. He's
stuck to you
like glue. He
thinks you are
his mommy. Yes!
Let's name him
'Pak'! OK! He's
definately a
Pak!
"
89,0x12e7a0,1,"['\\n', '10GT000@']",,"Snowboard?
 Yes          No<ask>"
90,0x12e7c4,1,"['\\n', '10GT000@']",,"Do you know how?
 Yes          No<ask>"
91,0x12e7ee,1,"['\\n', '<arrow>0<waita><clear>', '\\n', '<arrow>0<waita><clear>', '\\n', '<arrow>0<waita><clear>', '\\n', '<waita>@']",,"Use the snowー
board on the
snow… There are
obstacles,
so avoid them by
using the
Control Pad.
<arrow>0"
92,0x12e85a,1,['<waita>@'],,Ready?!
93,0x12e863,1,"['\\n', '10GT000@']",,"Are you done?
 Yes          No<ask>"
94,0x12e88a,1,"['\\n', '<waita>@']",,"Yeah! You're
an expert!"
95,0x12e8a4,1,"['\\n', '<waita>@']",,"Cool! Get the
S ranking next!"
96,0x12e8c3,1,"['\\n', '<arrow>0<waita><clear>', '\\n', '<waita>@']",,"Good job! Keep
up the good
work!
"
97,0x12e8e9,1,"['\\n', '<waita>@']",,"Try a little
harder…"
98,0x12e8ff,1,"['\\n', '<waita>@']",,"You need a lot
more practice!"
99,0x12e91e,1,"['\\n', '<waita>@']",,"Wow!! A new
record!"
100,0x12e933,1,"['\\n', '<arrow>0<waita><clear>', '\\n', '<waita>@']",,"Go to the
advanced
course?
"
101,0x12e953,1,"['\\n', '<arrow>0<waita><clear>', '\\n', '<arrow>0<waita><clear>', '\\n', '<arrow>0<waita><clear>', '\\n', '<arrow>0<waita><clear>', '\\n', '<arrow>0<waita><clear>', '\\n', '<waita>@']",,"Since you've
set a new
record, I'll
tell you a
little juicy
info! There
might be a
Power Berry on
the tree in the
grass field in
the Winter…
"
102,0x12e9f4,1,"['\\n', '<arrow>0<waita><clear>', '\\n', '<waita>@']",,"Lucky! I've got
a Power Berry!
It was worth
falling down!"
103,0x12ea33,1,"['\\n', '10GT000@']",,"I'm not done!
 Yes          No<ask>"
104,0x12ea5b,1,"['\\n', '<waita>@']",,"I'll come back
soon!"
105,0x12ea72,1,"['\\n', '<arrow>0<waita><clear>', '\\n', '10GT000@']",,"Go to the
advanced course?

 Yes          No<ask>"
106,0x12eaaa,1,"['\\n', '<arrow>0<waita><clear>', '\\n', '<waita>@']",,"Complete! You're
the King of
Snowboarding!
"
107,0x12eadb,1,"['\\n', '<arrow>0<waita><clear>', '\\n', '<waita>@']",,"Great! You may
want to try a
harder course?
"
108,0x12eb0c,1,"['\\n', '<waita>@']",,"Good. Polish up
your techniques!"
109,0x12eb2e,1,"['\\n', '<arrow>0<waita><clear>', '\\n', '<waita>@']",,"Well, it's too
hard for you
right now.
"
110,0x12eb5c,1,"['\\n', '<arrow>0<waita><clear>', '\\n', '<waita>@']",,"No! Go home
before you hurt
yourself.
"
111,0x12eb87,1,"['\\n', '<waita>@']",,"Fantastic! A
new record!"
112,0x12eba1,1,"['\\n', '<arrow>0<waita><clear>', '\\n', '<waita>@']",,"Let's not
snowboard at
night.
"
113,0x12ebc5,1,['<waita>@'],,Sheep Pen
114,0x12ebd0,1,['<waita>@'],,Chicken Coop
115,0x12ebde,1,['<waita>@'],,Cow Barn
116,0x12ebe8,1,['<waita>@'],,Stable
117,0x12ebf0,1,"['\\n', '<waita>@']",,"It's locked.
You can't go in."
